especie_id,nome_cientifico
922,Cuphea exilis
923,Cuphea rionegrensis
924,Cuphea sabulosa
925,Acmanthera cowanii
926,Acmanthera duckei
927,Acmanthera latifolia
928,Acmanthera longifolia
929,Acmanthera minima
930,Acmanthera parviflora
931,Alicia macrodisca
932,Banisteriopsis schwannioides
933,Blepharandra cachimbensis
934,Blepharandra intermedia
935,Bronwenia brevipedicellata
936,Burdachia duckei
937,Byrsonima delicatula
938,Byrsonima euryphylla
939,Byrsonima frondosa
940,Byrsonima hirsuta
941,Byrsonima piresii
942,Byrsonima rodriguesii
943,Byrsonima souzae
944,Christianella paludicola
945,Diacidia aracaënsis
946,Diplopterys cachimbensis
947,Diplopterys cururuënsis
948,Diplopterys rondoniensis
949,Glandonia prancei
950,Heteropterys catoptera
951,Heteropterys ciliata
952,Heteropterys marleneae
953,Heteropterys mathewsana
954,Heteropterys murcapiresii
955,Hiraea holmgreniorum
956,Hiraea silvae
957,Hiraea silvicola
958,Janusia paraensis
959,Lophanthera lactescens
960,Lophanthera pendula
961,Lophanthera spruceana
962,Malpighiodes bracteosa
963,Malpighiodes leucanthele
964,Mascagnia riparia
965,Mascagnia tucuruensis
966,Mezia sericea
967,Pterandra arborea
968,Pterandra egleri
969,Pterandra evansii
970,Stigmaphyllon stylopogon
971,Tetrapterys cordifolia
972,Verrucularina piresii
973,Aguiaria excelsa
974,Apeiba trombetensis
975,Bastardiopsis grewiifolia
976,Catostemma albuquerquei
977,Catostemma cavalcantei
978,Catostemma grazielae
979,Catostemma lanceolatum
980,Catostemma milanezii
981,Catostemma sclerophyllum
982,Eriotheca longipedicellata
983,Gaya scopulorum
984,Helicteres lenta
985,Helicteres urupensis
986,Herrania nitida
987,Hibiscus amazonicus
988,Lueheopsis burretiana
989,Matisia bicolor
990,Matisia lecythicarpa
991,Mollia cuneata
992,Mollia longifolia
993,Mollia macrophylla
994,Mollia nitida
995,Mollia paraensis
996,Pachira manausensis
997,Pachira tocantina
998,Patinoa paraensis
999,Patinoa sphaerocarpa
1000,Pavonia paraënsis
1001,Pavonia piptocalyx
1002,Quararibea amazonica
1003,Quararibea spatulata
1004,Scleronema spruceana
1005,Sida marabaensis
1006,Sterculia albidiflora
1007,Sterculia apeibophylla
1008,Sterculia megalocarpa
1009,Sterculia pendula
1010,Sterculia rigidifolia
1011,Sterculia stipulifera
1012,Theobroma canumanense
1013,Wissadula cuspidata
1014,Goeppertia crocata
1015,Goeppertia lagoagriana
1016,Goeppertia loeseneri
1017,Ischnosiphon crassispicus
1018,Ischnosiphon paryrizinho
1019,Maranta sophiana
1020,Monotagma breviscapum
1021,Monotagma congestum
1022,Monotagma floribundum
1023,Monotagma humile
1024,Monotagma lilacinum
1025,Marcgravia punctifolia
1026,Aciotis ferreirana
1027,Aciotis wurdackiana
1028,Bellucia egensis
1029,Bellucia nigricans
1030,Bellucia riparia
1031,Bellucia wurdackiana
1032,Brasilianthus carajensis
1033,Clidemia ferox
1034,Comolia amazonica
1035,Comolia berberifolia
1036,Graffenrieda maturaca
1037,Graffenrieda moaensis
1038,Leandra coadunata
1039,Macairea cuieirasii
1040,Macairea theresiae
1041,Macrocentrum aurimontium
1042,Meriania aracaensis
1043,Meriania neblinensis
1044,Miconia comptifolia
1045,Miconia cowanii
1046,Miconia forzzae
1047,Miconia manauara
1048,Miconia mattogrossensis
1049,Miconia mazanana
1050,Miconia navioensis
1051,Miconia papillosperma
1052,Miconia rondoniensis
1053,Miconia santaremensis
1054,Miconia schwackei
1055,Miconia secundiflora
1056,Miconia suberosa
1057,Miconia subsimplex
1058,Miconia umbrosa
1059,Miconia waimiri-atroari
1060,Microlicia sickii
1061,Mouriri brachyanthera
1062,Mouriri dimorphandra
1063,Mouriri duckeanoides
1064,Mouriri eugeniifolia
1065,Mouriri froesii
1066,Mouriri lunatanthera
1067,Mouriri micradenia
1068,Mouriri monopora
1069,Mouriri obtusiloba
1070,Mouriri spruceana
1071,Mouriri torquata
1072,Mouriri trunciflora
1073,Pleroma carajasense
1074,Poteranthera windischii
1075,Pterolepis picorondonica
1076,Siphanthera todziae
1077,Tibouchina edmundoi
1078,Votomita orbinaxia
1079,Votomita plerocarpa
1080,Votomita roraimensis
1081,Guarea crispa
1082,Guarea humaitensis
1083,Guarea sprucei
1084,Trichilia amapaensis
1085,Trichilia bullata
